"anio","produccion_acuicola","produccion_captura","produccion_total"
"1961","2036048","39466328","41502376"
"1962","2102404","43040596","45143000"
"1963","2353276","43855048.1","46208324.1"
"1964","2543477","48580721.1","51124198.1"
"1965","2745153","49436577.4","52181730.4"
"1966","2967746","53402345.8","56370091.8"
"1967","3091674","56848905","59940579"
"1968","3268313","59972805","63241118"
"1969","3449366","58611575","62060941"
"1970","3712507","64456849","68169356"
"1971","4166242","64427061","68593303"
"1972","4560185","60069327","64629512"
"1973","4740324","60673568","65413892"
"1974","5196208","63988406","69184614"
"1975","5501099","63370376","68871475"
"1976","5673241","66763766","72437007"
"1977","6673107.5","65386876","72059983.5"
"1978","7035848","67434082","74469930"
"1979","7137393","67998096.5","75135489.5"
"1980","7792341","68466600","76258941"
"1981","8204938","70718427.033","78923365.033"
"1982","8598805","72695982.738","81294787.738"
"1983","9496350.5","72375683.376","81872033.876"
"1984","10632634.449","78102108.411","88734742.86"
"1985","11801075.648","79857731.449","91658807.097"
"1986","13028902.102","85263236.919","98292139.021"
"1987","14286300.228","86238584.513","100524884.741"
"1988","15911935.959","89811585.227","105723521.186"
"1989","16966564.069","90320967.964","107287532.033"
"1990","17280137.041","86739203.41","104019340.451"
"1991","18932480.603","85581621.262","104514101.865"
"1992","22083405.889","87191075.71","109274481.599"
"1993","25529060.052","88817474.809","114346534.861"
"1994","28917847.005","94515309.181","123433156.186"
"1995","32367372.194","94856571.367","127223943.561"
"1996","35100667.135","96513645.476","131614312.611"
"1997","35594506.699","95808192.809","131402699.508"
"1998","37728977.108","88359776.811","126088753.919"
"1999","41007717.605","94463694.789","135471412.394"
"2000","43015233.753","96321335.128","139336568.881"
"2001","45559564.718","93555007.618","139114572.336"
"2002","48673636.746","93899323.161","142572959.907"
"2003","51534810.115","91223684.029","142758494.144"
"2004","55813745.089","96002005.849","151815750.938"
"2005","59158394.218","95727104.619","154885498.837"
"2006","62948642.662","93797330.238","156745972.9"
"2007","66318624.976","93628582.63","159947207.606"
"2008","70217876.242","92465953.099","162683829.341"
"2009","73844930.334","91548962.269","165393892.603"
"2010","77993630.077","89836368.556","167829998.633"
"2011","81626873.692","94251797.438","175878671.13"
"2012","88191309.022","91513696.5","179705005.522"
"2013","94961642.125","93212769.843","188174411.968"
"2014","99632567.284","93646196.986","193278764.27"
"2015","103988071.893","94391266.503","198379338.396"
"2016","108205750.841","92326541.412","200532292.253"
"2017","112237715.138","96008184.381","208245899.519"
"2018","115960280.667","99006724.073","214967004.74"
"2019","119744518.752","95026835.453","214771354.205"
"2020","122793048.76","92025220.17","214818268.93"
"2021","126224599.346","94028293.221","220252892.567"
"2022","130919570.555","93643882.714","224563453.269"
